Rank,Release,Gross
677,The Ground Beneath My Feet,29585.00
678,Vault,29491.00
679,Recorder: The Marion Stokes Project,28681.00
680,Batman & Robin,28597.00
,2019 Re-release,
681,In the Aisles,28394.00
682,Hotel by the River,28354.00
683,The Wind,28252.00
684,The Load,28118.00
685,El Norte,27920.00
,2019 Re-release,
686,Kind Hearts and Coronets,27523.00
,2019 Re-release,
687,"Leaving Home, Coming Home: A Portrait of Robert Frank",27073.00
688,The Day Shall Come,26972.00
689,Memory: The Origins of Alien,26643.00
690,Wrestle,26597.00
691,Donnybrook,26284.00
692,Neither Wolf Nor Dog,25413.00
693,Asako I & II,25328.00
694,Return of the Hero,25004.00
695,Invisible Life,24219.00
696,Chasing Einstein,24057.00
697,Vox Lux,24054.00
698,Piranhas,23494.00
699,Wildlife,22999.00
700,Celebration,22557.00
701,Night School,22550.00
702,Hyenas,22444.00
703,Light from Light,22331.00
704,Island of Lemurs: Madagascar,22310.00
705,Jane and Emma,22261.00
706,Wicked Witches,21600.00
707,The Hole in the Ground,21072.00
708,Redoubt,20878.00
709,The Gospel of Eureka,20578.00
710,The All Americans,20322.00
711,Light of My Life,20056.00
712,General Magic,20046.00
713,The Sound of Silence,20013.00
714,Prassthanam,19984.00
715,The Perfect Race,19809.00
716,Armstrong,19740.00
717,Girls of the Sun,19712.00
718,Out of Blue,18779.00
719,Black Mother,18762.00
720,Before Stonewall,18724.00
721,The Return of Martin Guerre,18603.00
,2019 Re-release,
722,Midnight Diner,18555.00
723,"Phoenix, Oregon",18356.00
,Pre-Release Tour,
724,The Cranes Are Flying,17923.00
725,The House That Jack Built,17763.00
726,Citizen K,17704.00
727,Ode to Joy,17303.00
728,Scandalous: The True Story of the National Enquirer,17085.00
729,Joseph Pulitzer: Voice of the People,16970.00
730,Ballon,16792.00
731,Too Late to Die Young,16591.00
732,Tremors,16516.00
733,Chained for Life,16456.00
734,Three Peaks,16216.00
735,Virginia Minnesota,16118.00
736,Piercing,15856.00
737,Starfish,15849.00
738,Little Joe,15801.00
739,To the Arctic 3D,15800.00
740,A Private War,15792.00
741,Airpocalypse,15719.00
742,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,15712.00
743,Midnight Family,15537.00
744,Galapagos,15222.00
745,Funan,15152.00
746,El Angel,15127.00
747,Wrinkles the Clown,14938.00
748,ZZ Top: That Little Ol' Band from Texas,14879.00
749,Frank and Ava,14820.00
750,Our Time,14777.00
751,The Competition,14588.00
,2019 Re-release,
752,Boy Erased,14490.00
753,Combat Obscura,14242.00
754,Screwball,13967.00
755,Touch Me Not,13782.00
756,My Son,13782.00
,2019 Re-release,
757,This One's for the Ladies,13688.00
758,First Man,13510.00
759,The Cat Rescuers,13384.00
760,The House with a Clock in Its Walls,13295.00
761,Rapid Response,13294.00
762,Hagazussa,13253.00
763,The Woman Who Loves Giraffes,12616.00
764,Off Season,12544.00
765,The White Sheik,12384.00
,2019 re-release,
766,Journey to the South Pacific,12209.00
767,Bricked,12201.00
768,Zen for Nothing,12107.00
769,Imprisoned,12050.00
770,Quartet,12042.00
771,"Cassandro, The Exotico!",11897.00
772,Liyana,11895.00
773,The Charmer,11695.00
774,The Disappearance of My Mother,11636.00
775,Stuffed,11561.00
776,Vision Portraits,11440.00
777,That Part Feeling - the Universe of Arvo Part,11385.00
778,Between the Lines,11366.00
